11/13/2024,"2,088,739"
11/14/2024,"2,561,968"
11/15/2024,"2,636,505"
11/16/2024,"1,949,769"
11/17/2024,"2,663,030"
11/18/2024,"2,455,375"
11/19/2024,"1,885,832"
11/20/2024,"2,070,826"
11/21/2024,"2,550,762"
11/22/2024,"2,754,798"
11/23/2024,"2,493,313"
11/24/2024,"2,659,301"
11/25/2024,"2,506,373"
11/26/2024,"2,694,504"
11/27/2024,"2,726,845"
11/28/2024,"1,551,896"
11/29/2024,"2,377,911"
11/30/2024,"2,811,101"
12/1/2024,"3,088,836"
12/2/2024,"2,829,000"
12/3/2024,"2,283,750"
12/4/2024,"2,120,703"
12/5/2024,"2,443,620"
12/6/2024,"2,522,641"
12/7/2024,"2,012,382"
12/8/2024,"2,603,322"
12/9/2024,"2,438,070"
12/10/2024,"2,013,749"
12/11/2024,"2,148,651"
12/12/2024,"2,588,225"
12/13/2024,"2,655,019"
12/14/2024,"2,146,894"
12/15/2024,"2,599,354"
12/16/2024,"2,401,238"
12/17/2024,"2,122,028"
12/18/2024,"2,351,328"
12/19/2024,"2,651,437"
12/20/2024,"2,845,856"
12/21/2024,"2,773,545"
12/22/2024,"2,800,962"
12/23/2024,"2,758,299"
12/24/2024,"2,068,817"
12/25/2024,"2,039,342"
12/26/2024,"2,743,795"
12/27/2024,"2,848,156"
12/28/2024,"2,741,872"
12/29/2024,"2,805,401"
12/30/2024,"2,765,740"
12/31/2024,"2,172,902"
